counterexample,execution,proof,synthesis,test
835.0,15540.142857142857,2533.777777777778,3321.2,2330.0
1035.6,11760.5,5973.777777777777,1873.7777777777778,447.0
1272.75,2520.0,7757.5,1297.142857142857,2412.8888888888887
1129.5,3143.9,2919.5714285714284,1336.888888888889,8355.285714285714
1806.0,1686.1666666666667,6179.0,536.0,3722.4
709.6666666666666,740.9,4041.3,8136.5,6749.75
2685.4285714285716,614.9,3363.6666666666665,1468.2222222222222,10279.6
1507.1666666666667,1235.8,4359.888888888889,582.0,10265.875
665.1,698.9,968.8,1666.0,3290.6
478.0,1253.2,1499.0,4051.2,2384.3333333333335
1156.0,486.8,2595.5,1566.857142857143,6221.5
6258.25,741.0,8323.555555555555,4038.5555555555557,1011.7777777777778
1079.75,3201.1,6070.5,2824.3,10150.0
6325.75,1175.3,2906.6,2817.6,4247.75
728.5,1617.5,4547.857142857143,1368.6,2440.6666666666665
1163.6666666666667,1472.9,5824.5,3303.2,2620.3333333333335
399.0,2044.1,1098.3333333333333,6404.6,5728.5
1563.0,1336.0,6550.125,1852.375,3197.0
1549.0,724.0,4236.777777777777,2237.8,10311.555555555555
565.3,547.9,3154.777777777778,4320.5,3489.6
2385.25,13613.4,1228.0,2127.0,1492.8333333333333
453.2,1175.3,2519.8571428571427,2234.6666666666665,2875.6
1572.4,6169.0,5403.625,4223.1,9010.57142857143
956.0,1280.2,2734.0,2899.777777777778,5467.125
1606.6666666666667,587.7,926.0,1589.6666666666667,6325.625
1813.0,15142.57142857143,4898.0,3026.5555555555557,7292.0
1014.3,631.9,2354.8,1418.0,6963.111111111111
1841.25,742.4,3376.5555555555557,1418.5,1815.2222222222222
1415.6666666666667,1226.8,4412.5,1577.4444444444443,8085.5
1919.5,7437.571428571428,3649.25,3282.8,5934.5
1542.3333333333333,11329.4,6594.625,2447.6666666666665,2285.8
1396.8,12076.1,4641.714285714285,1877.2222222222222,6132.666666666667
7247.111111111111,1154.6,5414.833333333333,4545.111111111111,3357.4
733.8333333333334,2519.2,5672.666666666667,2273.0,3846.5555555555557
1821.5,1061.5,3623.125,1148.5714285714287,6815.444444444444
501.8,3376.1,4729.428571428572,2198.777777777778,7286.0
