counterexample,execution,proof,synthesis,test
9505.5,479.42857142857144,9860.0,3420.8333333333335,3340.3333333333335
664.0,561.2222222222222,446.8,757.1666666666666,8384.333333333334
3371.3333333333335,3489.0,3431.75,8926.5,8224.0
618.2,502.44444444444446,6949.5,1356.3333333333333,1218.5
1383.142857142857,479.14285714285717,1179.6666666666667,1176.2,540.0
393.6666666666667,3633.0,2216.0,371.5,521.4
1368.4,486.14285714285717,701.6,551.3333333333334,8427.333333333334
659.5,3583.6666666666665,3406.75,300.8333333333333,638.0
457.8,470.22222222222223,6533.0,502.1666666666667,397.75
1256.2,464.22222222222223,878.7142857142857,4019.0,1419.6666666666667
3471.6666666666665,398.55555555555554,465.1666666666667,728.3333333333334,276.6666666666667
1268.2,9463.0,447.0,1200.0,2780.0
927.3333333333334,352.4,3545.6666666666665,549.8333333333334,9263.0
1395.3,1023.0,975.6666666666666,904.2,9265.0
3512.6666666666665,9401.0,4660.75,3425.8333333333335,540.5
3335.0,953.1428571428571,1558.5,3014.0,3340.0
465.4,1029.5,6976.25,374.6666666666667,2777.5
1198.0,578.2222222222222,410.14285714285717,1207.1,3921.3333333333335
1373.8,3559.0,1020.8333333333334,365.5,395.75
3375.0,421.8888888888889,3741.6666666666665,8983.5,449.0
9457.5,3528.3333333333335,9831.0,3029.2,3642.0
,956.2857142857143,,,
,951.2857142857143,,,
,394.3333333333333,,,
