counterexample,execution,proof,synthesis,test
5228.0,6836.0,7732.0,7692.6,6832.125
7435.0,9763.666666666666,6877.166666666667,5521.0,7637.875
7583.0,7220.0,6070.6,6330.0,9643.0
7094.0,7074.0,8206.5,7171.0,7087.5
9437.0,9405.666666666666,7987.5,6358.0,6808.25
9734.0,7237.0,8178.0,7841.4,5802.166666666667
8230.0,6838.0,7512.0,7018.0,5520.285714285715
6650.0,7531.0,7689.5,6349.0,7039.875
4973.5,6430.0,7837.0,5594.0,6917.5
8641.0,8480.333333333334,6623.166666666667,5354.0,6227.125
6656.0,6877.0,7827.5,5095.0,6359.0
7212.0,7437.0,7258.0,5492.0,7808.666666666667
,,7160.5,5022.0,7850.333333333333
,,6562.5,6453.6,7413.25
,,7179.125,6014.0,7989.333333333333
,,7208.375,6600.4,7616.666666666667
,,7900.5,6751.0,7654.666666666667
,,7602.625,3764.0,6841.625
,,7771.0,7535.6,9279.0
,,7760.222222222223,5121.0,9693.0
,,7468.5,6238.0,6520.333333333333
,,7948.0,5838.0,7317.0
,,8071.333333333333,5950.0,7652.125
,,7134.5,5095.0,6588.0
,,8233.5,,
,,7177.833333333333,,
,,7806.5,,
,,7128.5,,
,,7148.5,,
,,8192.0,,
,,7505.625,,
,,8109.5,,
,,6043.25,,
