counterexample,execution,proof,synthesis,test
0.0,10.0,80.0,0.0,80.0
0.0,0.0,0.0,50.0,0.0
0.0,0.0,60.0,0.0,0.0
0.0,0.0,50.0,10.0,80.0
20.0,0.0,20.0,10.0,0.0
0.0,0.0,0.0,10.0,0.0
0.0,0.0,0.0,10.0,20.0
0.0,30.0,20.0,50.0,80.0
10.0,0.0,20.0,10.0,0.0
10.0,10.0,60.0,10.0,0.0
10.0,0.0,20.0,10.0,80.0
0.0,0.0,20.0,0.0,0.0
0.0,0.0,60.0,10.0,60.0
10.0,0.0,20.0,10.0,0.0
0.0,10.0,20.0,10.0,0.0
10.0,0.0,60.0,0.0,0.0
0.0,0.0,60.0,10.0,70.0
0.0,30.0,80.0,0.0,80.0
0.0,10.0,80.0,50.0,60.0
0.0,0.0,20.0,10.0,80.0
0.0,0.0,80.0,50.0,70.0
0.0,0.0,90.0,50.0,30.0
0.0,10.0,90.0,20.0,30.0
0.0,10.0,20.0,50.0,80.0
10.0,0.0,20.0,0.0,30.0
0.0,10.0,60.0,0.0,60.0
10.0,0.0,20.0,10.0,60.0
20.0,30.0,60.0,0.0,80.0
10.0,0.0,60.0,0.0,10.0
0.0,0.0,80.0,0.0,10.0
10.0,0.0,20.0,10.0,60.0
0.0,10.0,20.0,10.0,80.0
10.0,0.0,20.0,0.0,80.0
0.0,10.0,80.0,0.0,60.0
0.0,0.0,20.0,10.0,0.0
0.0,0.0,40.0,10.0,0.0
