counterexample,execution,proof,synthesis,test
40.0,100.0,50.0,70.0,70.0
40.0,70.0,50.0,50.0,20.0
40.0,20.0,40.0,70.0,50.0
100.0,10.0,20.0,100.0,70.0
40.0,70.0,80.0,70.0,60.0
100.0,100.0,40.0,50.0,80.0
30.0,30.0,90.0,100.0,70.0
30.0,100.0,20.0,70.0,50.0
60.0,100.0,40.0,50.0,80.0
100.0,90.0,40.0,50.0,40.0
100.0,90.0,50.0,100.0,80.0
70.0,90.0,40.0,40.0,70.0
30.0,100.0,40.0,50.0,20.0
60.0,100.0,50.0,90.0,60.0
100.0,20.0,50.0,60.0,40.0
30.0,100.0,70.0,100.0,40.0
40.0,90.0,70.0,70.0,70.0
30.0,30.0,50.0,80.0,80.0
100.0,70.0,40.0,40.0,60.0
40.0,70.0,50.0,70.0,60.0
60.0,100.0,90.0,70.0,50.0
70.0,100.0,70.0,60.0,20.0
100.0,100.0,60.0,50.0,40.0
40.0,100.0,80.0,70.0,70.0
100.0,10.0,50.0,100.0,60.0
30.0,70.0,80.0,100.0,30.0
60.0,100.0,60.0,100.0,60.0
100.0,40.0,80.0,60.0,40.0
60.0,100.0,80.0,70.0,40.0
40.0,100.0,60.0,100.0,50.0
30.0,20.0,70.0,80.0,40.0
60.0,100.0,20.0,70.0,30.0
30.0,100.0,80.0,100.0,50.0
40.0,100.0,60.0,40.0,40.0
60.0,10.0,70.0,70.0,50.0
30.0,70.0,70.0,70.0,90.0
